,user,hours,logs,devices,emails_sent,size,attachments,device_files,http
0,AAE0190,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AAE0190,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AAE0190,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,AAE0190,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AAE0190,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AAE0190,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,AAE0190,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,AAE0190,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,AAE0190,8,346.0,0.0,499.0,14914058.0,217.0,0.0,4629.0
9,AAE0190,9,0.0,0.0,595.0,17783347.0,205.0,0.0,5050.0
10,AAE0190,10,0.0,0.0,416.0,12458478.0,164.0,0.0,4720.0
11,AAE0190,11,0.0,0.0,419.0,12585896.0,180.0,0.0,4729.0
12,AAE0190,12,0.0,0.0,388.0,11747751.0,135.0,0.0,4617.0
13,AAE0190,13,0.0,0.0,487.0,14516251.0,168.0,0.0,4328.0
14,AAE0190,14,0.0,0.0,343.0,10597888.0,118.0,0.0,4443.0
15,AAE0190,15,0.0,0.0,409.0,12390079.0,160.0,0.0,4694.0
16,AAE0190,16,0.0,0.0,461.0,13759424.0,149.0,0.0,4666.0
17,AAE0190,17,0.0,0.0,439.0,13087185.0,196.0,0.0,5551.0
18,AAE0190,18,346.0,0.0,255.0,7585720.0,88.0,0.0,2051.0
19,AAE0190,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,AAE0190,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,AAE0190,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,AAE0190,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,AAE0190,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,AAF0535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,AAF0535,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,AAF0535,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,AAF0535,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,AAF0535,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,AAF0535,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,AAF0535,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,AAF0535,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,AAF0535,8,82.0,0.0,1.0,32192.0,0.0,0.0,65.0
33,AAF0535,9,82.0,0.0,89.0,2615419.0,78.0,44.0,767.0
34,AAF0535,10,0.0,0.0,40.0,1207024.0,34.0,45.0,559.0
35,AAF0535,11,0.0,0.0,57.0,1657510.0,45.0,28.0,565.0
36,AAF0535,12,0.0,0.0,64.0,1949106.0,47.0,32.0,557.0
37,AAF0535,13,0.0,0.0,56.0,1637579.0,32.0,50.0,556.0
38,AAF0535,14,0.0,0.0,54.0,1740048.0,37.0,62.0,496.0
39,AAF0535,15,0.0,0.0,61.0,1930475.0,58.0,53.0,532.0
40,AAF0535,16,75.0,0.0,52.0,1633901.0,31.0,42.0,723.0
41,AAF0535,17,89.0,0.0,6.0,187499.0,2.0,1.0,58.0
42,AAF0535,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,AAF0535,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,AAF0535,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,AAF0535,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,AAF0535,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,AAF0535,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,AAF0791,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,AAF0791,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,AAF0791,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,AAF0791,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,AAF0791,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,AAF0791,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,AAF0791,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,AAF0791,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,AAF0791,8,346.0,0.0,377.0,11180728.0,0.0,0.0,3865.0
57,AAF0791,9,0.0,0.0,333.0,10007591.0,0.0,0.0,3434.0
58,AAF0791,10,0.0,0.0,284.0,8804976.0,0.0,0.0,3400.0
59,AAF0791,11,0.0,0.0,302.0,8869730.0,0.0,0.0,3293.0
60,AAF0791,12,0.0,0.0,318.0,9262354.0,0.0,0.0,3366.0
61,AAF0791,13,0.0,0.0,241.0,7466534.0,0.0,0.0,3197.0
62,AAF0791,14,0.0,0.0,280.0,8397039.0,0.0,0.0,3284.0
63,AAF0791,15,0.0,0.0,298.0,8782658.0,0.0,0.0,3383.0
64,AAF0791,16,0.0,0.0,393.0,12030901.0,0.0,0.0,4037.0
65,AAF0791,17,346.0,0.0,186.0,5432484.0,0.0,0.0,1611.0
66,AAF0791,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,AAF0791,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,AAF0791,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,AAF0791,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,AAF0791,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,AAF0791,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,AAL0706,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,AAL0706,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,AAL0706,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,AAL0706,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,AAL0706,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,AAL0706,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,AAL0706,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,AAL0706,7,346.0,0.0,17.0,516137.0,6.0,0.0,184.0
80,AAL0706,8,0.0,0.0,37.0,981599.0,15.0,0.0,482.0
81,AAL0706,9,0.0,0.0,36.0,1144134.0,10.0,0.0,381.0
